"","Taxa","Mean","SD","Int","Agr","Urb","Agr_se","Urb_se","Global_LC_p","Agr_p","Urb_p","R2m","R2c","Time","form","adjusted_p_agr","adjusted_p_urb","ratio_mean_agr","log_ratio_mean_agr","ratio_mean_urb","log_ratio_mean_urb"
"40","Leioproctus",39.2606060606061,179.141887387355,2.44709919842179,-0.507781300902475,NA,0.756594906476773,NA,NA,0.503136583379778,NA,0.282659475714615,0.78083749296486,39.3650200366974,1,0.559040648199753,NA,0.601829376912216,-0.220526616995599,NA,NA
"41","Lasioglossum",40.5203308063405,123.207489996922,2.90397123485536,0.118979440013344,0.0707971494227451,0.137333672067526,0.193468583920332,0.386296605003699,NA,NA,0.0720170458255497,0.886619358499162,1.0724013008674,1,NA,NA,1.12634676037593,0.0516721142577342,1.07336347138352,0.0307468113287782
"42","Diadasia",3.7004132231405,11.9942670844481,-0.706133917696847,-0.295562690089074,NA,0.309707579781333,NA,NA,0.340406000363011,NA,0.49961859217875,0.992791648773532,1.48665818373362,1,0.408487200435613,NA,0.744112764765381,-0.128361245362166,NA,NA
"43","Coelioxys",0.18413597733711,1.06690589882477,-2.52917877948731,-0.834902571602767,-0.480504146070294,0.456644689653268,0.379258829242426,0.0674982708842134,NA,NA,0.027765548640135,0.754144388399298,9.1952361146609,1,NA,NA,0.433916755187616,-0.362593579773916,0.618471513213588,-0.208680299169963
"44","Ceratina",7.56913183279743,33.5431024541345,0.647948753836334,0.166981666177563,-0.781285662805016,0.221877894073283,0.320572160375686,0.451700170601215,NA,NA,0.0535565373668992,0.873870879539354,4.60865935087204,1,NA,NA,1.18173259943411,0.0725192161999263,0.457817034440844,-0.339308052146343
"45","Bombus",19.0667800935772,45.9790818095938,1.99198164614594,-0.17507216626343,-0.12470193182209,0.168104911998243,0.201191613691686,0.297668663329649,NA,NA,0.154282170941352,0.893362450014084,40.3675663193067,1,NA,NA,0.839396442478589,-0.0760328757430564,0.882759986034814,-0.0541573608730093
"46","Augochloropsis",1.0044776119403,3.30080992170995,-1.0689795927196,-0.37315312507152,-0.293701353974668,0.287049258823771,0.357238275698606,0.193613997718016,NA,NA,0.15024727775341,0.885606762134004,13.7773449420929,1,NA,NA,0.688559789004177,-0.162058343123515,0.74549909854394,-0.127552877358712
"47","Augochlorella",11.5382775119617,81.8637086659922,0.547577336810317,0.206904898592673,-1.5108712198897,0.348512573994709,0.44459437518209,0.552726251282312,NA,NA,0.180216369335026,0.893227631652262,1.42859966754913,1,NA,NA,1.22986560426916,0.0898576557375498,0.220717600606404,-0.65616303366453
"48","Augochlora",3.75188916876574,14.6420132680774,-0.0734687647297401,0.431336949988121,-0.860874905716721,0.323571273330905,0.307385328176274,0.182515128243982,NA,NA,0.13638099735464,0.851344229272372,1.02642303307851,1,NA,NA,1.53931413446276,0.18732725722082,0.422792017302434,-0.373873221161754
"49","Trigona",20.6728971962617,50.8891413564699,1.87345668886684,0.142365302478029,NA,0.26559291402788,NA,NA,0.592525879239192,NA,0.119689004734857,0.878407324120497,15.5576169490814,1,0.634849156327706,NA,1.15299776455551,0.0618284652806952,NA,NA
"50","Tetragonisca",1.56291390728477,3.71227901059964,-1.17554428031768,-0.324967174598794,NA,0.410723884873655,NA,NA,0.430171822992274,NA,0.304484069407779,0.955766253487555,4.47243809700012,1,0.496352103452624,NA,0.722551071281606,-0.141131450727947,NA,NA
"51","Paratrigona",2.63716814159292,7.17144878133154,0.16237597854084,-0.414251595786685,NA,0.990205429991644,NA,NA,0.676580060234358,NA,0.380685719737306,0.685018012534411,4.95385098457336,1,0.699910407138991,NA,0.66083466713065,-0.179907182169774,NA,NA
